,username,profile_link,rating,review_title,review_body
63,James Rogers,https://amazon.com/gp/profile/amzn1.account.AHOSCFA5FSPNMTTCNCIMVAP5QNEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Good value,Great picture quality. Good value
64,Vanessa Mancia,https://amazon.com/gp/profile/amzn1.account.AELHWMZ6CT6TAHEEQP66QV3I5ABQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,it looks just like the picture!,"I love it, if you're looking for plates to get, don't hesitate this is the one :)"
65,Kassondra Ortega,https://amazon.com/gp/profile/amzn1.account.AFACQGERFUHW6SWDXEUKHJMVEJMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Nice Quality,I used these for my polaroid camera and they work really well.
66,Eason,https://amazon.com/gp/profile/amzn1.account.AFCXJVPROGFRH6FP5JA4NE3AZ2AQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Awesome,The color of the film is so pretty! Like it!
67,Phaedra Cardwell,https://amazon.com/gp/profile/amzn1.account.AFWPL4PQASQXZKXQPFR4NUAU7XQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Had no problems,pictures turned out great!
68,Joey,https://amazon.com/gp/profile/amzn1.account.AFJIGA25WAFNPX7QFWXPI3AJZS2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Nicce,Nicce
69,Bobby Boshay,https://amazon.com/gp/profile/amzn1.account.AH2EYWG7ZXFE7K4HOJ5YMAJFYXCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Like!,Like!
70,Charles K.,https://amazon.com/gp/profile/amzn1.account.AEP26HDYVMNSNJM2WJHQTTCN7A5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Easy to use and takes GREAT photos.  Fun.,Easy to use and takes GREAT photos.  Fun.
71,Cristina Modesitt,https://amazon.com/gp/profile/amzn1.account.AFEC7WCWKDD63UBZS3SCVONEOZ4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,Good product,Good product will most likely buy again
72,Keyla,https://amazon.com/gp/profile/amzn1.account.AGJQVBSWGLEKOWHFFT63HK5JKQ4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Perfecttttt,Perfect
73,Poon Wai Yip Petrus,https://amazon.com/gp/profile/amzn1.account.AHEUBFLOW654PZJMTYVM6XBF66UA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,A vintage product back into to life,Love to play Polaroid again
74,Nancy,https://amazon.com/gp/profile/amzn1.account.AEHRYLYLJU4DY2E2I4PZDOJYLBJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Love this film,"I have nothing negative to say about this film, I love the look of my pictures. I used this pack with my Lab printer and my photos turned out amazing. The price isn't the best, but its worth it."
75,MARIA ALEJANDRA TELLEZ,https://amazon.com/gp/profile/amzn1.account.AEJYNHBY77GFNHNVYRRGDLXFZHWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,Lovely!,"Hi!I loved my package, it arrived quickly. Now I want to ask for more, it says that there is no longer shipments to Colombia. I am looking for another alternative. Help? Please."
76,Yesenia,https://amazon.com/gp/profile/amzn1.account.AEECYQFV4I76INDJW2ENDABB2YJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,Amazing product. Horrible employee.,Amazing product. Just the drop off person was horrible gave so much attitude for no reason.
