,username,profile_link,rating,review_title,review_body
20,Elina,https://amazon.com/gp/profile/amzn1.account.AHMWV3DZZI7BE3JFNFZ7SVXEX4GQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Good looking blender,I really like the color of this blender and that it comes with two different size cups. Makes good smoothies.
21,Samantha ,https://amazon.com/gp/profile/amzn1.account.AG3BJWIBADDXLLSRQ4BAX2CACU2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,On the go blender!,Love this product! I like the 2 different speeds for options and especially love the to go cups that are the same container it is blended in so now transferring cups if you are taking it to go and has special lids as well! Works great for smoothies and milkshakes!
22,Sandy Liu,https://amazon.com/gp/profile/amzn1.account.AGIPPOQTWG47OWK3X5JD2IWY4F7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great and easy to use blender,"It was an excellent compact blender, very versatile and easy to use. I especially like the 2 different size blender cup and the pulse function."
23,Tina,https://amazon.com/gp/profile/amzn1.account.AEYAIIJYHS3WM2IBLCSNWWI6LMVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,It packs a punch!!,"Don't be deceived by how small this blender is, it is really powerful. I have one of the big brand name blenders and this gives it some competition. I like the size, the quaintness of it and the two on the go bottles it comes with. I already made a smoothie with some kale,  almond milk, half a banana and some blueberries and it did its thing. Clean up is a breeze and doesn't take a lot to wash the motor cover and bottle, much easier to clean than the brand name. My 14 year old made her own smoothie which she's never done with the other one. I discovered this company right before Christmas and am impressed with my purchases. The price for this blender is definitely worth it. No regrets!"
24,Andras M. Nagy,https://amazon.com/gp/profile/amzn1.account.AF2LGLZLZQ7L37EZDVXIHMJ4EACQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,"Cute, Compact and Easy to Use","This blender is perfect for a college apartment! The blades are sharp and strong enough to make smoothies and it is incredibly easy to set up and use. The color looks great in any kitchen and the size  is just another plus. For the price, I would say that this blender is worth every penny!"
25,Lil,https://amazon.com/gp/profile/amzn1.account.AFZZHMHY43BAM3KCWYITBJMAHKWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Smoothie,I have been trying to decide an a smoothie maker and came across this one. I like the two container sizes it comes with and I really like the color. It's pretty!! The containers are nice and clear and have measurements on the sides.I used it right after I took the pictures and it is so easy to use. So so easy to clean and doesn't take up a lot of space for storage. I named it Red....Red it really strong and in no time I had a great smoothie. So if you are looking for really great smoothie maker you should get one.
26,Karina Chen,https://amazon.com/gp/profile/amzn1.account.AFF2735QN4NF3TZRWGHKQHEEQXSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Amazing Blender :D,"Your browser does not support HTML5 video.


   This blender is easy to clean and very powerful! The blender comes with 3 speeds that you can use for different ingredients or make the texture of the smoothies to your liking. I love that the bottle size is big enough for the blender yet convenient when you can just take it with you. It comes with a replacement seal ring in the package which is very thoughtful. In the user manual, there are several smoothies recipes you can use right away! I tried the berry and tropical smoothies recipes which I definitely recommend :D"
27,Amazon Customer,https://amazon.com/gp/profile/amzn1.account.AF5LYDORWWF74FTMI74I4AMTZSFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Worth the $32,"This blender is an inexpensive compact catch for the consumer.  I did 3/4 C frozen blueberries, 1/4 frozen banana, 3/4 C almond milk, 3 T of oats, 1 T of hemp, and kale.  The liquid, was trapped in the frozen blueberries at the top.  So I had to loosen the milk by stirring with a spoon.  Then I used P mode to grind the big chunks and then switched to the high.  I had to shake and repeat twice.  You wouldn’t have to do that with fresh fruit, I’m sure. The only other thing that happened is the blade became stuck in the bottom, not sure if that’s user fault, however, I had to screw an empty bottle on and press down to loosen the blade.  It comes with 1 large bottle and one small. Overall, this is a great item for the cost.  HadinEEon keep making these great gadgets!"
28,Kristy,https://amazon.com/gp/profile/amzn1.account.AHHOJRSWJ2MB5475DZ473AFVEJGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Great smoothie machine!,"As soon as this smoothie machine arrived on my doorstep, my seven year old son took it out of the box, assembled it, and had all of the ingredients on the counter to make our first smoothies. I'm always hesitant to trust that a smoothie machine will blend all of the ingredients into a nice texture and blend with no troubles. I was very excited to see that this smoothie machine went right to work and just a minute later, I had already made the first two smoothies for my kids. It's easy to clean, the bottles are portable because they come with lids, and the dials are easy to understand. Definitely recommend!"
29,geoda,https://amazon.com/gp/profile/amzn1.account.AEZDP4FKESK7NOIUGLZWEM5XP4IQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0,Good looking and effective personal blender,"Initial reaction is very positive. Second item I got from this brand and both are attractive sitting on the counter, feel as if they are well made and easy to operate. was surprised how easily this small unit made my go to shake - ice, frozen fruit, protein powder and peanut butter made it quick - no jamming... One suggestion - flip the fill lines so they are useful when filling not during operation"
